"Tabela 987 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total"
"Faixas de pessoal ocupado";"Total"
"Unidade da Federação";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Variável X Ano"
;;"Número de empresas e outras organizações (Unidades)";;;;;;;"Pessoal ocupado total (Pessoas)";;;;;;;"Pessoal ocupado assalariado (Pessoas)";;;;;;;"Salários e outras remunerações (Mil Reais)";;;;;;;"Salário médio mensal (Salários mínimos)"
;;"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Rondônia";"J Informação e comunicação";358;355;348;360;391;425;436;1996;2065;1933;2136;2307;2418;2628;1524;1549;1448;1623;1780;1775;1954;10893;12752;13777;17208;24001;26142;32101;1,6;1,7;1,9;1,8;2,0;1,9;1,9
"Rondônia";"K Atividades financeiras, de seguros e serviços relacionados";161;189;199;224;240;241;244;849;1027;1124;1266;1540;1587;2196;623;749;811;920;1174;1186;1633;9302;10440;12774;15041;20146;23943;35511;3,4;3,1;3,1;3,0;2,8;3,1;2,9
"Rondônia";"L Atividades imobiliárias";61;65;87;92;108;124;143;183;207;305;322;398;499;574;103;121;176;178;237;312;325;537;697;1222;1371;1955;4624;4123;1,2;1,3;1,3;1,2;1,3;2,1;1,5
"Rondônia";"M Atividades profissionais, científicas e técnicas";600;664;686;817;970;1010;1062;2868;3254;3449;4165;5088;7079;8075;2115;2339;2518;3082;3812;5683;6585;28050;30463;40883;43837;63431;105090;157060;2,9;2,8;2,7;2,6;2,7;3,1;3,0
"Rondônia";"N Atividades administrativas e serviços complementares";748;825;923;1017;1205;1268;1388;7931;8945;10464;12055;13539;16396;19002;6989;7734;9126;10607;11896;14593;16934;51179;58090;73192;88034;116847;156056;222980;1,7;1,6;1,5;1,5;1,6;1,7;1,7
"Rondônia";"O Administração pública, defesa e seguridade social";143;144;156;160;160;177;184;89384;93167;97587;102315;106445;110675;109558;89367;93159;97572;102306;106437;110667;109550;1658157;1733731;1984223;2249516;2542943;2860740;3191131;4,1;4,0;3,9;3,7;3,6;3,7;3,5
"Rondônia";"P Educação";647;749;645;739;827;604;628;5723;6553;7199;7221;8336;8375;10295;5134;5919;6482;6443;7551;7541;9439;96279;107183;126622;148514;188885;200296;274259;4,1;3,7;3,8;3,7;3,8;3,7;3,6
"Rondônia";"Q Saúde humana e serviços sociais";578;648;653;730;819;863;946;4303;5030;7513;7813;8561;6868;7269;3531;4040;6524;6714;7417;5523;5782;30691;36316;92581;97791;124763;72664;84614;2,0;1,9;2,7;2,5;2,6;1,9;1,8
"Rondônia";"R Artes, cultura, esporte e recreação";191;182;213;235;255;267;276;574;519;555;599;700;812;876;401;345;350;376;466;540;565;2500;2669;2495;2820;4090;5103;6459;1,3;1,4;1,4;1,4;1,5;1,4;1,3
"Rondônia";"S Outras atividades de serviços";2549;2612;2585;2599;3258;3318;3219;5739;6587;6095;6364;6455;7049;7057;4278;4683;4381;4933;4793;5061;5064;39652;48230;54384;66382;73926;76245;82952;2,1;2,1;2,2;2,2;2,2;2,1;1,9
"Rondônia";"T Serviços domésticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Rondônia";"U Organismos internacionais e outras instituições extraterritoriais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Acre";"J Informação e comunicação";76;89;84;88;99;117;99;530;614;549;588;590;672;639;439;512;444;473;482;545;525;4360;6849;7765;8948;7886;8817;10808;2,3;2,9;3,3;3,4;2,4;2,4;2,3
"Acre";"K Atividades financeiras, de seguros e serviços relacionados";31;42;52;41;47;48;43;199;384;405;454;479;285;249;169;335;348;413;438;219;129;3574;5840;6342;7665;8517;3296;3005;4,6;3,7;3,5;3,2;2,8;2,2;2,5
"Acre";"L Atividades imobiliárias";25;22;20;23;30;33;38;122;104;122;192;154;169;190;77;64;87;165;95;122;125;524;441;543;1246;1293;1255;1412;1,6;1,4;1,2;1,7;2,0;1,7;1,3
"Acre";"M Atividades profissionais, científicas e técnicas";135;135;160;172;221;224;254;830;891;768;1039;1377;1514;1670;660;716;555;831;1138;1242;1359;11912;12239;10377;13630;24474;28547;32468;3,4;3,5;3,5;3,1;3,6;3,4;3,0
